Giancarlo Alvarado
Keishō Amiya
Kōki Aoyagi
Sho Aranami
Tyler Austin
Kakeru Ayabe
Katsuki Azuma
Aarom Baldiris
Edison Barrios
Duane Below
Tony Blanco
Mike Broadway
Chen Kuan-yu
Cheng Kai-wen
Tim Corcoran (pitcher)
Bobby Cramer
Shintaro Ejiri
Edwin Escobar
Hitoshi Fujie
Shugo Fujii
Yoshiaki Fujioka
Kazuya Fujita
Motoharu Fukuchi
Hiroyuki Fukuyama
Taketoshi Goto
Yuli Gurriel
Haruhiro Hamaguchi
Kodai Hamaya
Clayton Hamilton (baseball)
Masanori Hayashi
Elián Herrera (baseball)
Yoslan Herrera
Shingo Hirata
Seiya Hosokawa
Takeshi Hosoyamada
Shotaro Ide
Satoshi Iizuka
Shōta Imanaga
Shoichi Ino
Taisei Irie
Hiromu Ise
Kenta Ishida
Takehiro Ishikawa
Hikaru Ito
Yukiya Itoh
Shigeru Kaga
Kisho Kagami
Takayuki Kajitani
Yūta Kakita
Taiga Kamichatani
